game_id,season,week,home_team,away_team,home_score,away_score,home_win
2025_09_ATL_NE,2025,9,NE,ATL,24.0,23.0,1
2025_09_BAL_MIA,2025,9,MIA,BAL,6.0,28.0,0
2025_09_CAR_GB,2025,9,GB,CAR,13.0,16.0,0
2025_09_CHI_CIN,2025,9,CIN,CHI,42.0,47.0,0
2025_09_DEN_HOU,2025,9,HOU,DEN,15.0,18.0,0
2025_09_IND_PIT,2025,9,PIT,IND,27.0,20.0,1
2025_09_JAX_LV,2025,9,LV,JAX,29.0,30.0,0
2025_09_KC_BUF,2025,9,BUF,KC,28.0,21.0,1
2025_09_LAC_TEN,2025,9,TEN,LAC,20.0,27.0,0
2025_09_MIN_DET,2025,9,DET,MIN,24.0,27.0,0
2025_09_NO_LA,2025,9,LA,NO,34.0,10.0,1
2025_09_SEA_WAS,2025,9,WAS,SEA,14.0,38.0,0
2025_09_SF_NYG,2025,9,NYG,SF,24.0,34.0,0
2025_10_ARI_SEA,2025,10,SEA,ARI,44.0,22.0,1
2025_10_ATL_IND,2025,10,IND,ATL,31.0,25.0,1
2025_10_BAL_MIN,2025,10,MIN,BAL,19.0,27.0,0
2025_10_BUF_MIA,2025,10,MIA,BUF,30.0,13.0,1
2025_10_CLE_NYJ,2025,10,NYJ,CLE,27.0,20.0,1
2025_10_DET_WAS,2025,10,WAS,DET,22.0,44.0,0
2025_10_JAX_HOU,2025,10,HOU,JAX,36.0,29.0,1
2025_10_LA_SF,2025,10,SF,LA,26.0,42.0,0
2025_10_LV_DEN,2025,10,DEN,LV,10.0,7.0,1
2025_10_NE_TB,2025,10,TB,NE,23.0,28.0,0
2025_10_NO_CAR,2025,10,CAR,NO,7.0,17.0,0
2025_10_NYG_CHI,2025,10,CHI,NYG,24.0,20.0,1
2025_10_PHI_GB,2025,10,GB,PHI,7.0,10.0,0
2025_10_PIT_LAC,2025,10,LAC,PIT,25.0,10.0,1
2025_11_BAL_CLE,2025,11,CLE,BAL,16.0,23.0,0
2025_11_CAR_ATL,2025,11,ATL,CAR,27.0,30.0,0
2025_11_CHI_MIN,2025,11,MIN,CHI,17.0,19.0,0
2025_11_CIN_PIT,2025,11,PIT,CIN,34.0,12.0,1
2025_11_DAL_LV,2025,11,LV,DAL,16.0,33.0,0
2025_11_DET_PHI,2025,11,PHI,DET,16.0,9.0,1
2025_11_GB_NYG,2025,11,NYG,GB,20.0,27.0,0
2025_11_HOU_TEN,2025,11,TEN,HOU,13.0,16.0,0
2025_11_KC_DEN,2025,11,DEN,KC,22.0,19.0,1
2025_11_LAC_JAX,2025,11,JAX,LAC,35.0,6.0,1
2025_11_NYJ_NE,2025,11,NE,NYJ,27.0,14.0,1
