game_id,season,week,home_team,away_team,home_score,away_score,home_win,home_team_avg_points_for,home_team_avg_points_against,away_team_avg_points_for,away_team_avg_points_against,home_recent_form,away_recent_form,home_field_advantage
2025_04_WAS_ATL,2025,4,ATL,WAS,34.0,27.0,1,14.0,19.666666666666668,26.666666666666668,19.0,14.0,26.666666666666668,1
2025_05_DAL_NYJ,2025,5,NYJ,DAL,22.0,37.0,0,22.5,30.0,28.5,33.0,22.5,28.5,1
2025_05_DEN_PHI,2025,5,PHI,DEN,17.0,21.0,0,27.0,22.0,24.0,16.75,27.0,24.0,1
2025_05_DET_CIN,2025,5,CIN,DET,24.0,37.0,0,15.25,29.75,34.25,22.0,15.25,34.25,1
2025_05_HOU_BAL,2025,5,BAL,HOU,10.0,44.0,0,32.75,33.25,16.0,12.75,32.75,16.0,1
2025_05_KC_JAX,2025,5,JAX,KC,31.0,28.0,1,24.0,18.0,24.25,19.0,24.0,24.25,1
2025_05_LV_IND,2025,5,IND,LV,40.0,6.0,1,30.75,20.75,19.25,24.75,30.75,19.25,1
2025_05_MIA_CAR,2025,5,CAR,MIA,27.0,24.0,1,18.75,23.75,20.75,29.5,18.75,20.75,1
2025_05_MIN_CLE,2025,5,CLE,MIN,17.0,21.0,0,14.0,25.5,25.5,20.0,14.0,25.5,1
2025_05_NE_BUF,2025,5,BUF,NE,20.0,23.0,0,33.25,22.5,25.5,20.25,33.25,25.5,1
2025_05_NYG_NO,2025,5,NO,NYG,26.0,14.0,1,16.5,30.25,18.25,25.25,16.5,18.25,1
2025_05_SF_LA,2025,5,LA,SF,23.0,26.0,0,25.0,20.25,20.0,18.75,25.0,20.0,1
2025_05_TB_SEA,2025,5,SEA,TB,35.0,38.0,0,27.75,16.75,24.25,24.25,27.75,24.25,1
2025_05_TEN_ARI,2025,5,ARI,TEN,21.0,22.0,0,20.5,18.5,12.75,30.0,20.5,12.75,1
2025_05_WAS_LAC,2025,5,LAC,WAS,10.0,27.0,0,22.0,17.75,26.75,22.75,22.0,26.75,1
2025_06_ARI_IND,2025,6,IND,ARI,31.0,27.0,1,32.6,17.8,20.6,19.2,32.6,20.6,1
2025_06_BUF_ATL,2025,6,ATL,BUF,24.0,14.0,1,19.0,21.5,30.6,22.6,19.0,30.6,1
2025_06_CHI_WAS,2025,6,WAS,CHI,24.0,25.0,0,26.8,20.2,25.25,29.25,26.8,25.25,1
2025_06_CIN_GB,2025,6,GB,CIN,27.0,18.0,1,26.0,21.0,17.0,31.2,26.0,17.0,1
2025_06_CLE_PIT,2025,6,PIT,CLE,23.0,9.0,1,24.0,24.5,14.6,24.6,24.0,14.6,1
2025_06_DAL_CAR,2025,6,CAR,DAL,30.0,27.0,1,20.4,23.8,30.2,30.8,20.4,30.2,1
2025_06_DEN_NYJ,2025,6,NYJ,DEN,11.0,13.0,0,22.4,31.4,23.4,16.8,22.4,23.4,1
2025_06_DET_KC,2025,6,KC,DET,30.0,17.0,1,25.0,21.4,34.8,22.4,25.0,34.8,1
2025_06_LAC_MIA,2025,6,MIA,LAC,27.0,29.0,0,21.4,29.0,19.6,19.6,21.4,19.6,1
2025_06_LA_BAL,2025,6,BAL,LA,3.0,17.0,0,28.2,35.4,24.6,21.4,28.2,24.6,1
2025_06_NE_NO,2025,6,NO,NE,19.0,25.0,0,18.4,27.0,25.0,20.2,18.4,25.0,1
2025_06_PHI_NYG,2025,6,NYG,PHI,34.0,17.0,1,17.4,25.4,25.0,21.8,17.4,25.0,1
2025_06_SEA_JAX,2025,6,JAX,SEA,12.0,20.0,0,25.4,20.0,29.2,21.0,25.4,29.2,1
2025_06_SF_TB,2025,6,TB,SF,30.0,19.0,1,27.0,26.4,21.2,19.6,27.0,21.2,1
2025_06_TEN_LV,2025,6,LV,TEN,20.0,10.0,1,16.6,27.8,14.6,28.2,16.6,14.6,1
2025_07_ATL_SF,2025,7,SF,ATL,20.0,10.0,1,20.833333333333332,21.333333333333332,20.0,20.0,21.6,20.0,1
2025_07_CAR_NYJ,2025,7,NYJ,CAR,6.0,13.0,0,20.5,28.333333333333332,22.0,24.333333333333332,18.2,24.4,1
2025_07_GB_ARI,2025,7,ARI,GB,23.0,27.0,0,21.666666666666668,21.166666666666668,26.2,20.4,22.0,26.2,1
2025_07_HOU_SEA,2025,7,SEA,HOU,27.0,19.0,1,27.666666666666668,19.5,21.6,12.2,30.6,21.6,1
2025_07_IND_LAC,2025,7,LAC,IND,24.0,38.0,0,21.166666666666668,20.833333333333332,32.333333333333336,19.333333333333332,20.0,32.2,1
